epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7300.11,0.8258,1.68799,1.71227,1.28298,0.68836,0.62626,0.69127,0.34835,0.62639,0.55889,0.61035,0.33073,1.34092,3.02925,2.71938,2.15398,0.000658824,0.000658824,0.000658824
2,13085.9,1.04628,1.67907,1.50521,1.42925,0.53682,0.64646,0.62153,0.27649,0.55574,0.58586,0.6048,0.31598,1.56628,2.87854,4.19996,2.69971,0.00131237,0.00131237,0.00131237
3,20360.8,1.11795,1.8182,1.39342,1.49209,0.6344,0.70707,0.69298,0.33679,0.61802,0.67007,0.63936,0.3095,1.61138,3.28059,1.93863,2.43679,0.00195271,0.00195271,0.00195271
4,24078.7,1.106,1.73572,1.3529,1.49486,0.50249,0.62626,0.50213,0.22661,0.50765,0.61616,0.51395,0.2334,1.52398,2.64047,1.99424,2.31732,0.0019406,0.0019406,0.0019406
5,27665.1,1.03925,1.71651,1.19708,1.44112,0.83151,0.73737,0.82291,0.36332,0.85471,0.75758,0.83383,0.4609,1.85838,2.1597,1.9257,3.16952,0.0019208,0.0019208,0.0019208
6,31297.5,1.01383,1.60544,1.12421,1.42673,0.60059,0.66833,0.64519,0.27904,0.62599,0.67624,0.63623,0.32606,1.61479,2.54153,1.70681,2.31478,0.001901,0.001901,0.001901
7,44971.9,1.04179,1.62463,1.1105,1.42718,0.83856,0.84848,0.8922,0.50196,0.79863,0.80808,0.80226,0.47635,1.34102,1.95814,1.13458,2.13002,0.0018812,0.0018812,0.0018812
8,52345.1,0.99531,1.65162,1.0285,1.39922,0.83167,0.83838,0.88462,0.554,0.85348,0.84848,0.89631,0.57522,1.22241,1.71445,1.05811,2.02296,0.0018614,0.0018614,0.0018614
9,57333,0.97985,1.57738,1.03206,1.38927,0.82833,0.76768,0.88147,0.58202,0.82122,0.75758,0.83764,0.54336,1.05803,2.27938,1.15019,1.79301,0.0018416,0.0018416,0.0018416
10,61435.8,0.91582,1.48822,0.97615,1.35783,0.75115,0.82828,0.84852,0.49808,0.7983,0.79798,0.85026,0.53771,1.33481,1.85023,1.31198,2.05827,0.0018218,0.0018218,0.0018218
11,65750.6,0.93251,1.53163,0.95268,1.3677,0.82377,0.87879,0.90088,0.56062,0.83108,0.84486,0.85701,0.5668,1.16298,2.01348,1.01079,1.92798,0.001802,0.001802,0.001802
12,70330.2,0.88926,1.38643,0.91626,1.32453,0.86894,0.89899,0.92699,0.63425,0.83929,0.88889,0.90852,0.64167,1.14742,1.68294,1.04896,1.85213,0.0017822,0.0017822,0.0017822
13,75214.5,0.86758,1.38954,0.89004,1.30979,0.92374,0.8565,0.92463,0.5835,0.91512,0.84848,0.90055,0.57904,1.20256,1.83281,0.94765,1.89628,0.0017624,0.0017624,0.0017624
14,88584.1,0.86212,1.29395,0.82681,1.30181,0.89497,0.86069,0.91412,0.62259,0.88138,0.83838,0.89141,0.63337,1.05505,1.69139,0.84418,1.8225,0.0017426,0.0017426,0.0017426
15,91747.1,0.83397,1.27847,0.81202,1.27248,0.80233,0.86869,0.87317,0.55411,0.82273,0.87879,0.88439,0.63426,1.25526,1.45615,1.01633,1.93035,0.0017228,0.0017228,0.0017228
16,95169.5,0.80299,1.25066,0.79957,1.25532,0.89064,0.82263,0.91165,0.62671,0.91234,0.84109,0.9114,0.64417,0.97206,1.64179,0.89233,1.71667,0.001703,0.001703,0.001703
17,98887.4,0.77718,1.28199,0.79285,1.23727,0.89996,0.92929,0.94297,0.62461,0.96664,0.87802,0.92323,0.63554,1.06097,1.63957,0.87004,1.81197,0.0016832,0.0016832,0.0016832
18,102613,0.78316,1.20595,0.74586,1.25753,0.93567,0.85859,0.93733,0.6697,0.94668,0.86869,0.93877,0.69367,0.95194,1.27564,0.71157,1.66335,0.0016634,0.0016634,0.0016634
19,106258,0.74208,1.23927,0.73857,1.23286,0.92916,0.85859,0.9496,0.66421,0.93582,0.88889,0.94419,0.7059,1.00803,1.37357,0.77048,1.6591,0.0016436,0.0016436,0.0016436
